id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_risiko_bencana,satuan,tahun
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,124.1,POIN,2022
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,108.89,POIN,2022
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,137.36,POIN,2022
208,32,JAWA BARAT,3271,KOTA BOGOR,71.01,POIN,2022
209,32,JAWA BARAT,3272,KOTA SUKABUMI,92.91,POIN,2022
210,32,JAWA BARAT,3273,KOTA BANDUNG,103.05,POIN,2022
211,32,JAWA BARAT,3274,KOTA CIREBON,141.07,POIN,2022
212,32,JAWA BARAT,3275,KOTA BEKASI,124.95,POIN,2022
213,32,JAWA BARAT,3276,KOTA DEPOK,76.53,POIN,2022
214,32,JAWA BARAT,3277,KOTA CIMAHI,82.01,POIN,2022
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,114.69,POIN,2022
216,32,JAWA BARAT,3279,KOTA BANJAR,145.04,POIN,2022
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,107.93,POIN,2023
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,178.12,POIN,2023
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,185.14,POIN,2023
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,132.0,POIN,2023
221,32,JAWA BARAT,3205,KABUPATEN GARUT,147.39,POIN,2023
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,159.14,POIN,2023
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,117.12,POIN,2023
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,125.8,POIN,2023
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,144.56,POIN,2023
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,120.84,POIN,2023
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,135.05,POIN,2023
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,111.6,POIN,2023
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,143.43,POIN,2023
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,117.89,POIN,2023
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,152.32,POIN,2023
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,116.85,POIN,2023
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,108.64,POIN,2023
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,147.85,POIN,2023
235,32,JAWA BARAT,3271,KOTA BOGOR,63.49,POIN,2023
236,32,JAWA BARAT,3272,KOTA SUKABUMI,84.55,POIN,2023
237,32,JAWA BARAT,3273,KOTA BANDUNG,97.15,POIN,2023
238,32,JAWA BARAT,3274,KOTA CIREBON,127.28,POIN,2023
239,32,JAWA BARAT,3275,KOTA BEKASI,111.58,POIN,2023
240,32,JAWA BARAT,3276,KOTA DEPOK,80.44,POIN,2023
241,32,JAWA BARAT,3277,KOTA CIMAHI,72.63,POIN,2023
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,106.93,POIN,2023
243,32,JAWA BARAT,3279,KOTA BANJAR,132.0,POIN,2023
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,101.72,POIN,2024
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,168.97,POIN,2024
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,165.17,POIN,2024
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,117.13,POIN,2024
248,32,JAWA BARAT,3205,KABUPATEN GARUT,134.75,POIN,2024
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,145.5,POIN,2024
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,105.56,POIN,2024
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,141.55,POIN,2024
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,133.04,POIN,2024
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,108.99,POIN,2024
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,127.24,POIN,2024
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,99.21,POIN,2024
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,133.56,POIN,2024
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,107.01,POIN,2024
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,142.06,POIN,2024
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,106.39,POIN,2024
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,108.28,POIN,2024
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,133.13,POIN,2024
262,32,JAWA BARAT,3271,KOTA BOGOR,58.03,POIN,2024
263,32,JAWA BARAT,3272,KOTA SUKABUMI,77.56,POIN,2024
264,32,JAWA BARAT,3273,KOTA BANDUNG,91.95,POIN,2024
265,32,JAWA BARAT,3274,KOTA CIREBON,112.32,POIN,2024
266,32,JAWA BARAT,3275,KOTA BEKASI,111.58,POIN,2024
267,32,JAWA BARAT,3276,KOTA DEPOK,72.28,POIN,2024
268,32,JAWA BARAT,3277,KOTA CIMAHI,65.77,POIN,2024
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,97.13,POIN,2024
270,32,JAWA BARAT,3279,KOTA BANJAR,116.26,POIN,2024
