kode_kemendagri,nama_clean,tahun,bulan,precipitation_sum_mm,rain_sum_mm,precipitation_hours_total,rainy_days,heavy_rain_days_50mm,max_daily_precipitation_mm,wind_gusts_10m_max_kmh,et0_fao_evapotranspiration_mm_avg,soil_moisture_0_to_7cm_avg,rain_intensity_mm_per_hour_avg
3201,KABUPATEN BOGOR,2024,12,317.6,317.6,362.0,31,0,25.3,45.7,3.270967741935484,0.45768682795698923,0.8404208086763264
3201,KABUPATEN BOGOR,2025,1,371.8,371.8,340.0,31,0,31.8,42.1,3.327741935483871,0.46396774193548385,1.169505829905137
3201,KABUPATEN BOGOR,2025,2,321.0,321.0,335.0,27,1,50.0,49.3,3.6114285714285717,0.45100595238095237,0.899365173010684
3201,KABUPATEN BOGOR,2025,3,320.4,320.4,292.0,31,0,40.3,40.0,3.6867741935483873,0.4428978494623656,0.9852181555004134
3201,KABUPATEN BOGOR,2025,4,233.0,233.0,242.0,30,0,32.8,31.3,3.6586666666666665,0.4153611111111111,0.8329781231840058
3201,KABUPATEN BOGOR,2025,5,272.3,272.3,197.0,29,1,64.6,35.3,3.552258064516129,0.32187903225806447,1.1482488679902472
3201,KABUPATEN BOGOR,2025,6,114.6,114.6,160.0,28,0,14.7,37.1,3.4863333333333335,0.2757305555555556,0.5832490079365078
3201,KABUPATEN BOGOR,2025,7,66.7,66.7,129.0,26,0,12.2,41.8,3.9948387096774196,0.20766801075268818,0.448816045066045
3201,KABUPATEN BOGOR,2025,8,125.1,125.1,167.0,29,0,13.7,43.2,3.9951612903225806,0.24285080645161292,0.6240365668813944
3201,KABUPATEN BOGOR,2025,9,151.3,151.3,155.0,26,0,27.1,42.5,4.447666666666667,0.26703194444444445,0.8667780830280835
3201,KABUPATEN BOGOR,2025,10,187.0,187.0,191.0,30,0,36.2,46.1,4.3912903225806454,0.2804623655913978,0.8395102424808308
3201,KABUPATEN BOGOR,2025,11,240.0,240.0,246.0,27,0,22.8,43.6,3.872,0.40055416666666666,0.9249876585402901
3201,KABUPATEN BOGOR,2025,12,323.9,323.9,283.0,31,0,33.8,46.8,3.609677419354839,0.4248534946236559,1.0617112905016133
3202,KABUPATEN SUKABUMI,2012,1,387.6,387.6,456.0,31,0,38.8,67.3,2.7780645161290325,0.47828897849462365,0.8328277346869426
3202,KABUPATEN SUKABUMI,2012,2,330.6,330.6,358.0,29,0,32.4,40.3,3.489310344827586,0.4770977011494253,0.885966333968409
3202,KABUPATEN SUKABUMI,2012,3,237.7,237.7,323.0,30,0,29.3,61.9,3.3103225806451615,0.47075,0.6681843116202385
3202,KABUPATEN SUKABUMI,2012,4,400.2,400.2,326.0,30,1,54.1,32.4,3.342,0.4655375,1.2054234147202412
3202,KABUPATEN SUKABUMI,2012,5,170.1,170.1,190.0,29,0,25.3,27.7,3.556451612903226,0.4607755376344086,0.7127688834154352
3202,KABUPATEN SUKABUMI,2012,6,67.9,67.9,125.0,22,0,21.4,31.7,3.3810000000000002,0.41674583333333337,0.3866622348239994
3202,KABUPATEN SUKABUMI,2012,7,28.3,28.3,79.0,15,0,7.5,32.4,3.7480645161290322,0.3115793010752688,0.30776190476190474
3202,KABUPATEN SUKABUMI,2012,8,28.9,28.9,46.0,10,0,15.2,37.1,4.338064516129032,0.26575000000000004,0.3592727272727273
3202,KABUPATEN SUKABUMI,2012,9,30.599999999999998,30.599999999999998,102.0,21,0,11.6,34.2,4.506,0.309875,0.24777399848828421
3202,KABUPATEN SUKABUMI,2012,10,253.9,253.9,254.0,28,0,29.5,30.2,4.14483870967742,0.4363010752688172,0.8658929958929958
3202,KABUPATEN SUKABUMI,2012,11,407.0,407.0,382.0,30,0,36.4,29.2,3.289,0.47323055555555554,1.0952689869669274
3202,KABUPATEN SUKABUMI,2012,12,418.4,418.4,425.0,31,0,26.0,36.0,3.079354838709677,0.4756760752688172,1.01314177651208
3202,KABUPATEN SUKABUMI,2013,1,378.0,378.0,454.0,31,0,39.1,54.0,2.710322580645161,0.4776989247311828,0.8277045197192051
3202,KABUPATEN SUKABUMI,2013,2,342.8,342.8,351.0,27,0,29.4,60.1,3.294642857142857,0.47842559523809525,1.0326685495192545
3202,KABUPATEN SUKABUMI,2013,3,311.4,311.4,287.0,31,0,35.8,42.5,3.716774193548387,0.473491935483871,1.0501166933425
3202,KABUPATEN SUKABUMI,2013,4,613.6999999999999,613.6999999999999,393.0,30,2,165.2,34.6,3.0986666666666665,0.47704166666666664,1.2908083120583123
3202,KABUPATEN SUKABUMI,2013,5,333.2,333.2,298.0,31,0,45.7,38.2,3.0780645161290323,0.4706975806451613,1.0057656961257282
3202,KABUPATEN SUKABUMI,2013,6,205.4,205.4,266.0,29,0,39.5,36.0,2.8430000000000004,0.46066111111111113,0.6775946603305948
3202,KABUPATEN SUKABUMI,2013,7,313.5,313.5,291.0,30,0,49.8,31.0,2.8499999999999996,0.4727647849462365,0.8903780185815791
