kode_kemendagri,nama_clean,tipe,tahun,jumlah_kejadian_bnpb,Meninggal,Hilang,luka_sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
3205,KABUPATEN GARUT,KAB,2024,1.0,0,0,0,138,0,0,0,46,0,0,0,0,0
3205,KABUPATEN GARUT,KAB,2025,4.0,0,0,0,3092,2,7,94,654,0,0,0,0,0
3205,KABUPATEN GARUT,KAB,2026,1.0,0,0,0,124,0,1,0,30,0,0,0,0,0
3206,KABUPATEN TASIKMALAYA,KAB,2009,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3206,KABUPATEN TASIKMALAYA,KAB,2010,3.0,0,0,0,0,0,0,0,577,0,0,0,0,0
3206,KABUPATEN TASIKMALAYA,KAB,2013,4.0,0,0,1,4595,0,0,250,1443,0,0,0,0,0
3206,KABUPATEN TASIKMALAYA,KAB,2014,7.0,0,0,0,1567,3,5,2,71,0,1,0,0,0
3206,KABUPATEN TASIKMALAYA,KAB,2016,6.0,1,0,4,2707,9,0,8,1474,0,1,3,0,0
3206,KABUPATEN TASIKMALAYA,KAB,2017,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
3206,KABUPATEN TASIKMALAYA,KAB,2018,2.0,6,0,0,9545,7,1,15,462,0,0,0,0,1
3206,KABUPATEN TASIKMALAYA,KAB,2020,4.0,1,0,2,3822,1,3,0,822,2,2,0,0,1
3206,KABUPATEN TASIKMALAYA,KAB,2021,2.0,0,0,0,0,0,2,14,75,0,0,0,0,0
3206,KABUPATEN TASIKMALAYA,KAB,2022,6.0,0,0,0,1030,0,2,0,203,0,0,0,0,0
3206,KABUPATEN TASIKMALAYA,KAB,2023,2.0,0,0,0,2758,1,4,9,663,0,0,0,0,0
3206,KABUPATEN TASIKMALAYA,KAB,2024,1.0,0,0,0,3948,0,0,0,653,0,0,0,0,0
