kode_kemendagri,nama_clean,tipe,tahun,jumlah_banjir
3217,KABUPATEN BANDUNG BARAT,KAB,2024,8
3217,KABUPATEN BANDUNG BARAT,KAB,2025,5
3218,KABUPATEN PANGANDARAN,KAB,2012,0
3218,KABUPATEN PANGANDARAN,KAB,2013,0
3218,KABUPATEN PANGANDARAN,KAB,2014,2
3218,KABUPATEN PANGANDARAN,KAB,2015,1
3218,KABUPATEN PANGANDARAN,KAB,2016,6
3218,KABUPATEN PANGANDARAN,KAB,2017,5
3218,KABUPATEN PANGANDARAN,KAB,2018,3
3218,KABUPATEN PANGANDARAN,KAB,2019,0
3218,KABUPATEN PANGANDARAN,KAB,2020,10
3218,KABUPATEN PANGANDARAN,KAB,2021,0
3218,KABUPATEN PANGANDARAN,KAB,2022,5
3218,KABUPATEN PANGANDARAN,KAB,2023,1
3218,KABUPATEN PANGANDARAN,KAB,2024,1
3218,KABUPATEN PANGANDARAN,KAB,2025,6
3271,KOTA BOGOR,KOTA,2012,2
3271,KOTA BOGOR,KOTA,2013,1
3271,KOTA BOGOR,KOTA,2014,1
3271,KOTA BOGOR,KOTA,2015,0
3271,KOTA BOGOR,KOTA,2016,2
3271,KOTA BOGOR,KOTA,2017,16
3271,KOTA BOGOR,KOTA,2018,12
3271,KOTA BOGOR,KOTA,2019,11
3271,KOTA BOGOR,KOTA,2020,10
3271,KOTA BOGOR,KOTA,2021,18
3271,KOTA BOGOR,KOTA,2022,10
3271,KOTA BOGOR,KOTA,2023,12
3271,KOTA BOGOR,KOTA,2024,9
3271,KOTA BOGOR,KOTA,2025,6
3272,KOTA SUKABUMI,KOTA,2012,10
3272,KOTA SUKABUMI,KOTA,2013,5
3272,KOTA SUKABUMI,KOTA,2014,2
3272,KOTA SUKABUMI,KOTA,2015,0
3272,KOTA SUKABUMI,KOTA,2016,2
3272,KOTA SUKABUMI,KOTA,2017,0
3272,KOTA SUKABUMI,KOTA,2018,1
3272,KOTA SUKABUMI,KOTA,2019,0
3272,KOTA SUKABUMI,KOTA,2020,0
3272,KOTA SUKABUMI,KOTA,2021,2
3272,KOTA SUKABUMI,KOTA,2022,5
3272,KOTA SUKABUMI,KOTA,2023,3
3272,KOTA SUKABUMI,KOTA,2024,15
3272,KOTA SUKABUMI,KOTA,2025,4
3273,KOTA BANDUNG,KOTA,2012,6
3273,KOTA BANDUNG,KOTA,2013,1
3273,KOTA BANDUNG,KOTA,2014,2
3273,KOTA BANDUNG,KOTA,2015,2
3273,KOTA BANDUNG,KOTA,2016,7
3273,KOTA BANDUNG,KOTA,2017,5
3273,KOTA BANDUNG,KOTA,2018,13
3273,KOTA BANDUNG,KOTA,2019,8
3273,KOTA BANDUNG,KOTA,2020,8
3273,KOTA BANDUNG,KOTA,2021,2
3273,KOTA BANDUNG,KOTA,2022,2
3273,KOTA BANDUNG,KOTA,2023,1
3273,KOTA BANDUNG,KOTA,2024,9
3273,KOTA BANDUNG,KOTA,2025,10
3274,KOTA CIREBON,KOTA,2012,0
3274,KOTA CIREBON,KOTA,2013,1
3274,KOTA CIREBON,KOTA,2014,2
3274,KOTA CIREBON,KOTA,2015,1
3274,KOTA CIREBON,KOTA,2016,1
3274,KOTA CIREBON,KOTA,2017,0
3274,KOTA CIREBON,KOTA,2018,2
3274,KOTA CIREBON,KOTA,2019,2
3274,KOTA CIREBON,KOTA,2020,4
3274,KOTA CIREBON,KOTA,2021,1
3274,KOTA CIREBON,KOTA,2022,9
3274,KOTA CIREBON,KOTA,2023,2
3274,KOTA CIREBON,KOTA,2024,5
3274,KOTA CIREBON,KOTA,2025,8
3275,KOTA BEKASI,KOTA,2012,0
3275,KOTA BEKASI,KOTA,2013,35
3275,KOTA BEKASI,KOTA,2014,1
3275,KOTA BEKASI,KOTA,2015,1
3275,KOTA BEKASI,KOTA,2016,9
3275,KOTA BEKASI,KOTA,2017,5
3275,KOTA BEKASI,KOTA,2018,6
3275,KOTA BEKASI,KOTA,2019,4
3275,KOTA BEKASI,KOTA,2020,5
3275,KOTA BEKASI,KOTA,2021,14
3275,KOTA BEKASI,KOTA,2022,7
3275,KOTA BEKASI,KOTA,2023,5
3275,KOTA BEKASI,KOTA,2024,6
3275,KOTA BEKASI,KOTA,2025,3
3276,KOTA DEPOK,KOTA,2012,0
3276,KOTA DEPOK,KOTA,2013,1
3276,KOTA DEPOK,KOTA,2014,2
3276,KOTA DEPOK,KOTA,2015,0
3276,KOTA DEPOK,KOTA,2016,1
3276,KOTA DEPOK,KOTA,2017,0
3276,KOTA DEPOK,KOTA,2018,0
3276,KOTA DEPOK,KOTA,2019,2
3276,KOTA DEPOK,KOTA,2020,5
3276,KOTA DEPOK,KOTA,2021,3
3276,KOTA DEPOK,KOTA,2022,6
3276,KOTA DEPOK,KOTA,2023,3
3276,KOTA DEPOK,KOTA,2024,5
3276,KOTA DEPOK,KOTA,2025,6
3277,KOTA CIMAHI,KOTA,2012,0
3277,KOTA CIMAHI,KOTA,2013,11
3277,KOTA CIMAHI,KOTA,2014,0
3277,KOTA CIMAHI,KOTA,2015,0
3277,KOTA CIMAHI,KOTA,2016,9
3277,KOTA CIMAHI,KOTA,2017,3
3277,KOTA CIMAHI,KOTA,2018,13
3277,KOTA CIMAHI,KOTA,2019,6
3277,KOTA CIMAHI,KOTA,2020,13
3277,KOTA CIMAHI,KOTA,2021,6
3277,KOTA CIMAHI,KOTA,2022,10
3277,KOTA CIMAHI,KOTA,2023,6
3277,KOTA CIMAHI,KOTA,2024,3
3277,KOTA CIMAHI,KOTA,2025,8
3278,KOTA TASIKMALAYA,KOTA,2012,0
3278,KOTA TASIKMALAYA,KOTA,2013,0
3278,KOTA TASIKMALAYA,KOTA,2014,4
3278,KOTA TASIKMALAYA,KOTA,2015,2
3278,KOTA TASIKMALAYA,KOTA,2016,6
3278,KOTA TASIKMALAYA,KOTA,2017,7
3278,KOTA TASIKMALAYA,KOTA,2018,8
3278,KOTA TASIKMALAYA,KOTA,2019,6
3278,KOTA TASIKMALAYA,KOTA,2020,0
3278,KOTA TASIKMALAYA,KOTA,2021,2
3278,KOTA TASIKMALAYA,KOTA,2022,2
3278,KOTA TASIKMALAYA,KOTA,2023,6
3278,KOTA TASIKMALAYA,KOTA,2024,7
3278,KOTA TASIKMALAYA,KOTA,2025,1
3279,KOTA BANJAR,KOTA,2012,1
3279,KOTA BANJAR,KOTA,2013,0
