kode_kemendagri,nama_clean,nama_singkat,tipe,lat,lon,bps_kode,tahun,jumlah_banjir,total_hujan_tahunan_mm,rain_sum_mm,precipitation_hours_total,rainy_days,total_hari_hujan_ekstrem,max_hujan_harian_mm,wind_gusts_10m_max_kmh,et0_fao_evapotranspiration_mm_avg,avg_kelembaban_tanah,rain_intensity_mm_per_hour_avg,jumlah_kejadian_bnpb,korban_meninggal,korban_hilang,korban_luka,pengungsi,rusak_berat,rusak_sedang,rusak_ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak,satuan,jumlah_sampah_ton_per_hari,is_sampah_missing,rasio_banjir_per_hujan,kategori_hujan,rank_banjir_di_wilayah,total_terdampak
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2008,,,,,,,,,,,,5.0,1.0,0.0,3.0,2598.0,7.0,0.0,70.0,5843.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,2602.0
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2009,,,,,,,,,,,,7.0,0.0,0.0,0.0,7965.0,0.0,0.0,0.0,2069.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,7965.0
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2010,,,,,,,,,,,,65.0,5.0,0.0,400.0,59702.0,519.0,0.0,0.0,157840.0,4.0,22.0,0.0,0.0,0.0,,,True,,,,60107.0
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2011,,,,,,,,,,,,9.0,0.0,0.0,0.0,37558.0,0.0,0.0,2.0,8044.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,37558.0
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2012,17.0,3532.5,3532.5,3382.0,324.0,3.0,107.4,70.9,3.470609875169942,0.3964358901866271,0.835365009060696,5.0,0.0,0.0,0.0,76635.0,14.0,15.0,26.0,12709.0,2.0,0.0,0.0,0.0,0.0,,,True,0.004812455767869781,Tinggi (2500-4000mm),11.0,76635.0
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2013,46.0,3851.9,3851.9,3859.0,347.0,3.0,90.6,62.6,3.2510792370711727,0.4314675707245263,0.8883002771448877,54.0,0.0,0.0,0.0,167679.0,40.0,74.0,171.0,47234.0,0.0,0.0,0.0,0.0,0.0,,,True,0.011942158415327501,Tinggi (2500-4000mm),2.0,167679.0
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2014,17.0,3412.3,3412.3,3631.0,351.0,1.0,50.8,49.3,3.380839349718382,0.4195505280337941,0.8160099325474369,17.0,1.0,0.0,4.0,44287.0,8.0,0.0,0.0,18438.0,23.0,26.0,0.0,2.0,0.0,,,True,0.00498197696568297,Tinggi (2500-4000mm),11.0,44292.0
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2015,11.0,3107.9,3107.9,3035.0,314.0,2.0,66.1,53.3,3.678826932923707,0.3688393209165386,0.7465424282464047,9.0,0.0,0.0,0.0,9257.0,0.0,0.0,0.0,2035.0,0.0,0.0,0.0,0.0,0.0,TON PER HARI,1156523.0,False,0.003539367418514109,Tinggi (2500-4000mm),12.0,9257.0
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2016,45.0,4727.8,4727.8,4287.0,364.0,2.0,66.8,50.8,3.075849956742059,0.445699121323075,1.0286185790514466,23.0,0.0,0.0,0.0,43894.0,16.0,10.0,43.0,5007.0,0.0,1.0,0.0,0.0,0.0,TON PER HARI,1166002.7,False,0.009518169127289648,Sangat Tinggi (>4000mm),3.0,43894.0
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2017,30.0,1527.0,1527.0,1972.0,274.0,3.0,76.4,66.2,3.584956285202253,0.273630354209336,0.5377190739557504,10.0,0.0,0.0,0.0,87506.0,4.0,14.0,0.0,9076.0,0.0,0.0,0.0,0.0,0.0,TON PER HARI,1177662.73,False,0.019646365422396856,Sedang (1500-2500mm),4.0,87506.0
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2018,19.0,1245.8,1245.8,1847.0,272.0,2.0,59.2,58.3,3.85238767281106,0.2476544248165215,0.4356057877464803,9.0,0.0,0.0,0.0,6242.0,0.0,2.0,1.0,27885.0,28.0,81.0,1.0,2.0,0.0,TON PER HARI,1272.68,False,0.015251244180446301,Rendah (<1500mm),9.0,6242.0
