kode_kemendagri,nama_clean,tipe,tahun,satuan,jumlah_sampah_tahunan
3272,KOTA SUKABUMI,KOTA,2018,TON PER HARI,276.1
3272,KOTA SUKABUMI,KOTA,2019,TON PER HARI,126.16
3272,KOTA SUKABUMI,KOTA,2020,TON PER HARI,131.97
3272,KOTA SUKABUMI,KOTA,2021,TON PER HARI,175.0
3272,KOTA SUKABUMI,KOTA,2022,TON PER HARI,180.09
3272,KOTA SUKABUMI,KOTA,2023,TON PER HARI,1.2
3273,KOTA BANDUNG,KOTA,2015,TON PER HARI,2032364.07
3273,KOTA BANDUNG,KOTA,2016,TON PER HARI,2044607.23
3273,KOTA BANDUNG,KOTA,2017,TON PER HARI,2075276.34
3273,KOTA BANDUNG,KOTA,2018,TON PER HARI,2294.65
3273,KOTA BANDUNG,KOTA,2019,TON PER HARI,1339.37
3273,KOTA BANDUNG,KOTA,2020,TON PER HARI,1533.65
3273,KOTA BANDUNG,KOTA,2021,TON PER HARI,1430.04
3273,KOTA BANDUNG,KOTA,2022,TON PER HARI,1573.44
3273,KOTA BANDUNG,KOTA,2023,TON PER HARI,388.0
3274,KOTA CIREBON,KOTA,2015,TON PER HARI,276774.35
3274,KOTA CIREBON,KOTA,2016,TON PER HARI,278295.09
3274,KOTA CIREBON,KOTA,2017,TON PER HARI,283860.99
3274,KOTA CIREBON,KOTA,2018,TON PER HARI,282.28
3274,KOTA CIREBON,KOTA,2019,TON PER HARI,224.18
3274,KOTA CIREBON,KOTA,2020,TON PER HARI,159.02
3274,KOTA CIREBON,KOTA,2021,TON PER HARI,213.0
3274,KOTA CIREBON,KOTA,2022,TON PER HARI,176.98
3274,KOTA CIREBON,KOTA,2023,TON PER HARI,204.0
3275,KOTA BEKASI,KOTA,2015,TON PER HARI,1861925.31
3275,KOTA BEKASI,KOTA,2016,TON PER HARI,1873860.72
3275,KOTA BEKASI,KOTA,2017,TON PER HARI,1892599.33
3275,KOTA BEKASI,KOTA,2018,TON PER HARI,2245.14
3275,KOTA BEKASI,KOTA,2019,TON PER HARI,1504.31
3275,KOTA BEKASI,KOTA,2020,TON PER HARI,1403.43
3275,KOTA BEKASI,KOTA,2021,TON PER HARI,1061.0
3275,KOTA BEKASI,KOTA,2022,TON PER HARI,402.88
3275,KOTA BEKASI,KOTA,2023,TON PER HARI,348.0
3276,KOTA DEPOK,KOTA,2015,TON PER HARI,1512324.87
3276,KOTA DEPOK,KOTA,2016,TON PER HARI,1521546.37
3276,KOTA DEPOK,KOTA,2017,TON PER HARI,1551977.29
3276,KOTA DEPOK,KOTA,2018,TON PER HARI,1875.37
3276,KOTA DEPOK,KOTA,2019,TON PER HARI,1219.91
3276,KOTA DEPOK,KOTA,2020,TON PER HARI,1258.53
3276,KOTA DEPOK,KOTA,2021,TON PER HARI,1194.2
3276,KOTA DEPOK,KOTA,2022,TON PER HARI,1268.4
3276,KOTA DEPOK,KOTA,2023,TON PER HARI,69.72
3277,KOTA CIMAHI,KOTA,2015,TON PER HARI,428036.82
3277,KOTA CIMAHI,KOTA,2016,TON PER HARI,430852.85
3277,KOTA CIMAHI,KOTA,2017,TON PER HARI,439469.91
3277,KOTA CIMAHI,KOTA,2018,TON PER HARI,526.84
3277,KOTA CIMAHI,KOTA,2019,TON PER HARI,227.58
3277,KOTA CIMAHI,KOTA,2020,TON PER HARI,313.29
3277,KOTA CIMAHI,KOTA,2021,TON PER HARI,173.8
3277,KOTA CIMAHI,KOTA,2022,TON PER HARI,212.34
3277,KOTA CIMAHI,KOTA,2023,TON PER HARI,47.14
3278,KOTA TASIKMALAYA,KOTA,2015,TON PER HARI,222008.09
3278,KOTA TASIKMALAYA,KOTA,2016,TON PER HARI,233817.03
3278,KOTA TASIKMALAYA,KOTA,2017,TON PER HARI,236155.2
3278,KOTA TASIKMALAYA,KOTA,2018,TON PER HARI,233.82
3278,KOTA TASIKMALAYA,KOTA,2019,TON PER HARI,186.62
3278,KOTA TASIKMALAYA,KOTA,2020,TON PER HARI,182.6
3278,KOTA TASIKMALAYA,KOTA,2021,TON PER HARI,194.29
3278,KOTA TASIKMALAYA,KOTA,2022,TON PER HARI,253.18
3278,KOTA TASIKMALAYA,KOTA,2023,TON PER HARI,554.11
3279,KOTA BANJAR,KOTA,2015,TON PER HARI,103427.92
3279,KOTA BANJAR,KOTA,2016,TON PER HARI,104078.97
3279,KOTA BANJAR,KOTA,2017,TON PER HARI,106160.55
3279,KOTA BANJAR,KOTA,2018,TON PER HARI,104.08
3279,KOTA BANJAR,KOTA,2019,TON PER HARI,73.49
3279,KOTA BANJAR,KOTA,2020,TON PER HARI,57.48
3279,KOTA BANJAR,KOTA,2021,TON PER HARI,44.0
3279,KOTA BANJAR,KOTA,2022,TON PER HARI,65.87
3279,KOTA BANJAR,KOTA,2023,TON PER HARI,18.0
